family	endpoint	longname	cases	controls	n_icd10	icd10_codes	sources	mode_rule	atc	includes	case_conditions	control_exclude	control_conditions	icd9_used	icd8_used	phecodes	phecode_names	icd10_mapped_frac
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	Nonorganic sleeping disorders, excluding more controls	8336	362304	9	F51 F510 F511 F512 F513 F514 F515 F518 F519	COD HD	False				KRA_PSY_ANYMENTAL		True	True	NS_333 NS_333.2 NS_333.3 NS_333.5 NS_333.54 NS_333.55	Hypersomnia ; Insomnia ; Parasomnias ; Sleep disorders ; Sleep terrors [night terrors]* ; Sleepwalking [somnambulism]*	1.0
Sleep	G6_SLEEPDISOTH	Other sleep disorders	4625	374605	8	G47 G470 G471 G472 G473 G474 G478 G479	COD HD	False				G6_EPIPAROX		True	False	NS_333 NS_333.1 NS_333.2 NS_333.3 NS_333.4 NS_333.7	Circadian rhythm sleep disorder ; Hypersomnia ; Insomnia ; Narcolepsy ; Sleep apnea ; Sleep disorders	1.0
Sleep	F5_SLEEP_NOS	Sleep disorders, other/unspecified	1249	490763	2	F518 F519	COD HD	False				F5_SLEEP		False	False	NS_333	Sleep disorders	1.0
Bowel	K11_CONSTIPATION	Constipation	51956	448392	1	K590	COD HD KELA_ATC	False	A06A					False	False	GI_529.5	Constipation	1.0
Bowel	K11_OTHFUNC	Other functional intestinal disorders	22972	394725	8	K59 K590 K591 K592 K593 K594 K598 K599	COD HD	False				K11_INTESTOTH		True	True	GI_524 GI_524.2 GI_524.3 GI_529.1 GI_529.5 GI_530	Constipation ; Diarrhea ; Disease of anus and rectum ; Functional intestinal disorder ; Megacolon (other than Hirschsprung's) ; Neurogenic bowel	1.0
Bowel	K11_IBS	Irritable bowel syndrome	13268	394725	5	K58 K581 K582 K583 K588	COD HD	False				K11_INTESTOTH		True	True	GI_524.1 GI_529.1 GI_529.5	Constipation ; Diarrhea ; Irritable bowel syndrome	1.0
Bowel	K11_FUNCDYSP	Functional dyspepsia	12179	423785	1	K30	COD HD	False				K11_OESSTODUO		True	True	GI_527.3	Functional dyspepsia	1.0
Bowel	K11_REFLUX	Gastro-oesophageal reflux disease	36025	423785	3	K21 K210 K219	COD HD	False				K11_OESSTODUO		True	False	GI_510.2 GI_511	Esophagitis ; Gastro-esophageal reflux disease [GERD]	1.0
Bladder	N14_NEUROMUSCDYSBLADD	Neuromuscular dysfunction of bladder	3550	403328	6	N31 N310 N311 N312 N318 N319	COD HD	False				N14_URINOTH		True	False	GU_596.5	Neuromuscular dysfunction of bladder	1.0
Bladder	N14_OTHBLADD	Other disorders of  bladder	4699	403328	8	N32 N320 N321 N322 N323 N324 N328 N329	COD HD	False				N14_URINOTH		True	True	GU_596 GU_596.1 GU_596.3 GU_596.4	Bladder neck obstruction ; Diverticulum of bladder ; Other disorders of bladder ; Vesical fistula	1.0
ADHD	F5_ADHD	Disturbance of activity and attention	4452	490708	1	F900	COD HD	False				F5_BEHEMOCHILD		True	False	MB_304	Attention-deficit hyperactivity disorders	1.0
ADHD	KRA_PSY_HYPERKIN_EXMORE	Hyperkinetic disorders, excluding more controls	4737	362304	5	F90 F900 F901 F908 F909	COD HD	False				KRA_PSY_ANYMENTAL		True	False	MB_304	Attention-deficit hyperactivity disorders	1.0
Intellectual disability	F5_MILDRET	Mild mental retardation	913	498826	5	F70 F700 F701 F708 F709	COD HD	False				F5_MENTRET		True	True	MB_300.1	Mild intellectual disabilities	1.0
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	Mental retardation, excluding more controls	1429	362234	30	F70 F700 F701 F708 F709 F71 F710 F711 F718 F719 F72 F720 F721 F728 F729 F73 F730 F731 F738 F739 F78 F780 F781 F788 F789 F79 F790 F791 F798 F799	COD HD	False				KRA_PSY_ANYMENTAL		True	True	MB_300 MB_300.1 MB_300.2 MB_300.3 MB_300.4	Intellectual disabilities ; Mild intellectual disabilities ; Moderate intellectual disabilities ; Profound intellectual disabilities ; Severe intellectual disabilities	1.0
Autism	KRA_PSY_DEVWIDE_EXMORE	Wide developmental disorders, excluding more controls	1179	362304	9	F84 F840 F841 F842 F843 F844 F845 F848 F849	COD HD	False				KRA_PSY_ANYMENTAL		True	False	GE_981.3 MB_301 MB_301.1 MB_301.2	Asperger's syndrome* ; Autism ; Pervasive developmental disorders ; Rett syndrome*	1.0
Autism	KRA_PSY_AUTISM_EXMORE	Autism spe, excluding more controls	888	362304	2	F840 F845	COD HD	False				KRA_PSY_ANYMENTAL		True	False	MB_301.1 MB_301.2	Asperger's syndrome* ; Autism	1.0
